"uc_ea","uc","num_ea","bioma","regiao","expedicao","ano","tribo","soma_individuos"
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_2","2018","Epiphilini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_2","2018","Haeterini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_2","2018","Melanitini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_2","2018","Morphini",13
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_2","2018","Preponini",9
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_2","2018","Satyrini",57
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_1","2019","Ageroniini",4
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_1","2019","Anaeini",11
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_1","2019","Biblidini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_1","2019","Brassolini",27
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_1","2019","Callicorini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_1","2019","Coeini",1
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_1","2019","Epicaliini",2
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_1","2019","Epiphilini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_1","2019","Haeterini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_1","2019","Melanitini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_1","2019","Morphini",3
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_1","2019","Preponini",4
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_1","2019","Satyrini",31
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_2","2019","Ageroniini",2
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_2","2019","Anaeini",10
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_2","2019","Biblidini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_2","2019","Brassolini",8
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_2","2019","Callicorini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_2","2019","Coeini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_2","2019","Epicaliini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_2","2019","Epiphilini",1
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_2","2019","Haeterini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_2","2019","Melanitini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_2","2019","Morphini",1
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_2","2019","Preponini",2
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2019_2","2019","Satyrini",15
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_1","2022","Ageroniini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_1","2022","Anaeini",5
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_1","2022","Biblidini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_1","2022","Brassolini",15
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_1","2022","Callicorini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_1","2022","Coeini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_1","2022","Epicaliini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_1","2022","Epiphilini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_1","2022","Haeterini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_1","2022","Melanitini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_1","2022","Morphini",9
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_1","2022","Preponini",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_1","2022","Satyrini",21
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_2","2022","Ageroniini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_2","2022","Anaeini",4
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_2","2022","Biblidini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_2","2022","Brassolini",17
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_2","2022","Callicorini*",0
