uc_ea;uc;num_ea;bioma;regiao;expedicao;ano;tribo;soma_individuos;max_dia_amostragem;esforco_amostral;esforco_total_anual
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_2;2022;Satyrini;28;6;96;576
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_1;2018;Ageroniini;0;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_1;2018;Anaeini;10;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_1;2018;Biblidini;0;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_1;2018;Brassolini;13;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_1;2018;Callicorini;0;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_1;2018;Coeini;0;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_1;2018;Epicaliini;1;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_1;2018;Epiphilini;1;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_1;2018;Haeterini;0;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_1;2018;Melanitini;0;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_1;2018;Morphini;7;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_1;2018;Preponini;3;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_1;2018;Satyrini;25;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_2;2018;Ageroniini;3;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_2;2018;Anaeini;8;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_2;2018;Biblidini;0;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_2;2018;Brassolini;5;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_2;2018;Callicorini;0;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_2;2018;Coeini;1;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_2;2018;Epicaliini;1;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_2;2018;Epiphilini;0;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_2;2018;Haeterini;0;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_2;2018;Melanitini;0;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_2;2018;Morphini;13;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_2;2018;Preponini;9;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2018_2;2018;Satyrini;57;6;96;400
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2019_1;2019;Ageroniini;4;6;96;576
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2019_1;2019;Anaeini;11;6;96;576
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2019_1;2019;Biblidini;0;6;96;576
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2019_1;2019;Brassolini;27;6;96;576
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2019_1;2019;Callicorini;0;6;96;576
Esec_de_Maraca_1;Esec_de_Maraca;1;Amazonia;norte;2019_1;2019;Coeini;1;6;96;576
