Nº;UC;Bioma;UF;ARPA;Alvo;2014;2015;2016;2017;2018;2019;2020;2021;2022;EA por alvo;EA por UC;UA por alvo;UA por UC;Consolidada;Protocolo Avançado
49;RESEX Ipaú-Anilzinho;Amz;PA;x;MaAv;;;;;;1;1;1;1, 2;2;2;2;11;;
;RESEX Ipaú-Anilzinho;;;;Borbo;;;;;;1*;1*;1*;1, 2*;2;;8;;;x
;RESEX Ipaú-Anilzinho;;;;Plan;;;;;;1;;;;1;;1;;;
50;RESEX Ituxí;Amz;AM;x;MaAv;;;;;;;;;;;3;;3;;
;RESEX Ituxí;;;;Borbo;;;;;;;;;;;;;;;
;RESEX Ituxí;;;;Plan;;;;;;1,2,3;;;;3;;3;;;
51;RESEX Renascer;Amz;PA;x;MaAv;;;;;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;3;3;18;x;
;RESEX Renascer;;;;Borbo;;;;;1,2,3;1,2,3;1,2,3;1,2,3*;1,2,3;3;;12;;;x
;RESEX Renascer;;;;Plan;;;;;1,2,3;;;;;3;;3;;;
52;RESEX Rio Ouro Preto;Amz;RO;x;MaAv;;;;1,2;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;3;3;18;x;
;RESEX Rio Ouro Preto;;;;Borbo;;;;1,2*;1,2,3*;1,2,3*;1,2,3;1,2,3*;1,2,3*;3;;12;;;x
;RESEX Rio Ouro Preto;;;;Plan;;;;1,2,3;;;;;1,2,3;3;;3;;;
53;RESEX Riozinho da Liberdade;Amz;AC;x;MaAv;;;;;;;1;1,2,3;1,2,3;3;3;3;18;x;
;RESEX Riozinho da Liberdade;;;;Borbo;;;;;;;1;1,2,3;1,2,3*;3;;12;;;
;RESEX Riozinho da Liberdade;;;;Plan;;;;;;;1,2;;3;3;;3;;;
54;RESEX Riozinho do Anfrísio;Amz;PA;x;MaAv;;;1;1,2,3;1,2;1,2;1,2;1,2;1,2;3;3;3;11;;
;RESEX Riozinho do Anfrisio;;;;Borbo;;;;;;1,2;1,2;1,2;1,2*;2;;8;;;x
;RESEX Riozinho do Anfrisio;;;;Plan;;;;;;;;;;;;;;;
55;RESEX Tapajós Arapiuns;Amz;PA;x;MaAv;2;1,2,3,4,6,7,8;1,2,3,4,6,7,8;1,2,3,4,6,7,8,9;1,2,3,4,6,7,8,9;1,2,3,4,6,7,8,9;1,2,3,4,6,7,8,9;1,2,3,4,6,7,8,9;1,2,3,4,6,7,8,9;8;9;8;47;x;Trilha
;RESEX Tapajós Arapiuns;;;;Borbo;;1,2,4,5;1,2,3,4,8;1,2,3,4,6,7,8,9;1,2,3,4,6,7,8,9;1,2,3,4,6,7,8,9;1,2,3,4,6,7,8,9;1,2,4,6,7,8,9;1,2,3,4,6,7,8,9;9;;36;;;x
;RESEX Tapajós-Arapiuns;;;;Plan;;;;;2,4,8* ;;;;;3;;3;;;x
56;RESEX Verde para Sempre;Amz;PA;x;MaAv;;;;;;;;;1,2;2;2;2;12;;
;RESEX Verde para Sempre;;;;Borbo;;;;;;;;;1,2;2;;8;;;
;RESEX Verde para Sempre;;;;Plan;;;;;;;;;1,2;2;;2;;;
;Totais;;18 UF;41;;;;;;;;;;;384;152;789;789;24;45 UCs
