ordem;familia;taxon_validado;nome_comum;categoria
Rodentia ;Sciuridae ;Guerlinguetus ingrami ;;
Rodentia ;Sciuridae ;Guerlinguetus sp. ;esquilos;
Rodentia ;Sciuridae ;Microsciurus flaviventer ;amazon dwarf squirrel, quatipuruzinho-bigodeiro ;
Rodentia ;Sciuridae ;Microsciurus sp. ;esquilos;
Rodentia ;Sciuridae ;Sciuridae ;;
Rodentia ;Sciuridae ;Sciurillus pusillus ;neotropical pygmy squirrel, quatipuruzinho ;
Rodentia ;Sciuridae ;Sciurillus sp. ;esquilos;
Rodentia ;Sciuridae ;Urosciurus igniventris ;esquilo, quatipuru, southern amazon red squirrel ;
Rodentia ;Sciuridae ;Urosciurus sp. ;esquilos;
Rodentia ;Sciuridae ;Urosciurus spadiceus ;esquilo, quatipuru, southern amazon red squirrel ;
